ref_peperiksaan__kod_pusat,,,,,,,,,,,,,,,,,
id,no_sekolah,kod_pusat,id_jenis_calon,nama_pusat,nama_pusat_i18n,jumlah_calon,id_sekolah,id_tahun_peperiksaan,id_bilik_kebal,ids_mata_pelajaran,id_status_pendaftaran,id_status_pendaftaran_calon,id_status_janaan_angka_giliran,id_status_tempoh_pendaftaran,status,created_at,updated_at
79,0,QEA0096,9,Sekolah Kerajaan,مدارس حكومية,2,1,8,0,"[31,30,32,33,34,35,36,37,38,39]",1,2,1,2,1,2021-07-15 15:36:06,2021-07-19 01:34:11
80,0,1,9,TEST,a,25,1,8,0,"[30,31,32,33,34,35,36,37,38,39]",1,2,1,1,1,2021-07-15 17:13:26,2021-07-19 00:51:37
81,0,12,9,sek kerajaan,كرون كراجان,120,1,8,0,"[30,31,32,33,34,35,36,37,38,39]",1,2,1,1,1,2021-07-20 09:24:10,2021-07-20 09:27:42
1,1,JB558,11,ACADEMY DARUL HUFFAZ JOHOR,NULL,250,0,4,NULL,"[2, 3, 4, 12, 14, 21, 23, 45, 50, 55, 71]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
2,1,JB509,11,MADRASAH TAHFIZ AL-IMAN,NULL,300,0,4,NULL,"[2, 3, 4, 12, 14, 21, 23, 45, 50, 55, 71]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
3,1,JB521,11,MADRASAH TAHFIZ HUDA AL-ISLAM,NULL,63,0,4,NULL,"[2, 3, 4, 12, 14, 21, 23, 45, 50, 55, 71]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
4,1,JK145,9,MAKTAB RENDAH SAINS MARA JOHOR BAHRU,NULL,15,0,4,NULL,"[2, 3, 4, 12, 14, 21, 23, 45, 50, 55, 71]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
5,1,JE033,9,"MAKTAB RENDAH SAINS MARA, MERSING",NULL,435,0,4,NULL,"[2, 3, 4, 12, 14, 21, 23, 45, 50, 55, 71]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
6,1,JF111,9,"MAKTAB RENDAH SAINS MARA, MUAR",NULL,321,0,4,NULL,"[2, 3, 4, 12, 14, 21, 23, 45, 50, 55, 71]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
7,1,JG057,9,"MAKTAB RENDAH SAINS MARA, TUN DR ISMAIL PONTIAN",NULL,321,0,4,NULL,"[2, 3, 4, 12, 14, 21, 23, 45, 50, 55, 71]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
